year,r
1998,0.306611
1999,0.258582
2000,0.030114
2001,0.053969
2002,0.021003
2003,-0.033700
2004,0.052867
2005,0.109100
2006,-0.062000
2007,-0.086633
2008,0.132333
2009,0.124500
2010,-0.104967
2011,-0.100767
2012,0.182567
2013,-0.123833
2014,0.174467
2015,0.150200
2016,-0.011500
2017,-0.056100
2018,0.156200
2019,0.039067
2020,0.039167
2021,0.064600
2022,0.048733
2023,0.027733
2024,0.035000
2025,0.028000
